"Scenario","Method","Parameter","N_Estimate","N_Variance","Mean_Estimate","Bias","MC_SD","Mean_Analytic_SE","SE_to_MCSD","RMSE","Coverage","Mean_CI_Width","Mean_ESS","Mean_MaxWeight","Median_MaxWeight","P95_MaxWeight","Estimator_Failure_Rate","Variance_Failure_Rate","Lambda_Failure_Rate","Mean_Calibration_Residual"
"OR1PS1","IPW","beta0",1000,1000,1.00019478092516,0.00194780925164602,0.649685331524613,0.647299615966596,0.996327890684528,0.64936332890696,0.947,2.53736786900227,503.704462736016,10.8187466111228,9.27954386441954,21.1697964797129,0,0,NA,NA
"OR1PS1","IPW","beta1",1000,1000,0.996455212049297,-0.0354478795070329,0.553579230700118,0.501008403679834,0.905034683194676,0.554436711320072,0.933,1.96391685432876,503.704462736016,10.8187466111228,9.27954386441954,21.1697964797129,0,0,NA,NA
"OR1PS1","IPW","beta2",1000,1000,2.00328833261914,0.0328833261913744,0.897888615033698,0.894023525409455,0.995695357353319,0.8980417997975,0.953,3.50450782226812,503.704462736016,10.8187466111228,9.27954386441954,21.1697964797129,0,0,NA,NA
"OR1PS2","AIPW","beta0",1000,1000,0.997262921885939,-0.0273707811406106,0.553470893043791,0.554735793540204,1.00228539659865,0.553870796375375,0.964,2.17452435254809,436.57088251503,2.62350641615177,2.59488499103995,3.02382189961008,0,0,NA,NA
"OR1PS2","AIPW","beta1",1000,1000,0.99824436187435,-0.0175563812565039,0.407401547612932,0.398865380422952,0.979047288258976,0.407576092894614,0.953,1.56352356061771,436.57088251503,2.62350641615177,2.59488499103995,3.02382189961008,0,0,NA,NA
"OR1PS2","AIPW","beta2",1000,1000,2.00384148624416,0.0384148624416258,0.753650079283163,0.770066862233037,1.02178303088018,0.754252050191395,0.96,3.01860663132904,436.57088251503,2.62350641615177,2.59488499103995,3.02382189961008,0,0,NA,NA
"OR1PS2","CC","beta0",1000,1000,0.997649272917554,-0.0235072708244567,0.6674818822038,0.678215659502466,1.01608100172431,0.667562074109121,0.947,2.65855653275183,NA,NA,NA,NA,0,0,NA,NA
"OR1PS2","CC","beta1",1000,1000,0.996548517686854,-0.0345148231314569,0.495114011506779,0.480823493827882,0.971136915242196,0.49606856332743,0.948,1.88479346164673,NA,NA,NA,NA,0,0,NA,NA
"OR1PS2","CC","beta2",1000,1000,2.00138175328048,0.0138175328048264,0.941115715222337,0.959218762809663,1.01923572977745,0.940746519983904,0.952,3.76006845680402,NA,NA,NA,NA,0,0,NA,NA
"OR1PS2","CE","beta0",1000,1000,0.997301741385345,-0.0269825861465511,0.546308484995906,0.546679757109926,1.00067960158815,0.546701534452666,0.961,2.14294527002512,435.235366469933,3.20609044945699,3.0223466714388,4.64198218868417,1,0,0,2.10587557646461e-06
"OR1PS2","CE","beta1",1000,1000,0.998250270400163,-0.0174972959983728,0.407180386763132,0.399013106766765,0.979941862963263,0.407352705728664,0.952,1.56410263724459,435.235366469933,3.20609044945699,3.0223466714388,4.64198218868417,1,0,0,2.10587557646461e-06
"OR1PS2","CE","beta2",1000,1000,2.00378673270019,0.0378673270019296,0.731411352154772,0.746563643834558,1.02071651148857,0.732025640226544,0.954,2.92647570816544,435.235366469933,3.20609044945699,3.0223466714388,4.64198218868417,1,0,0,2.10587557646461e-06
"OR1PS2","ET","beta0",1000,1000,0.996934358895055,-0.0306564110494505,0.546771121049769,0.546924582767533,1.00028066902559,0.54735684493175,0.96,2.14390496896792,435.332263432751,3.01434596639425,2.91661973293617,3.91835095316419,0,0,0,6.51362708521269e-07
"OR1PS2","ET","beta1",1000,1000,0.998247975334594,-0.0175202466540634,0.407358779573582,0.398586465485697,0.978465385974822,0.407531830858893,0.952,1.56243023415417,435.332263432751,3.01434596639425,2.91661973293617,3.91835095316419,0,0,0,6.51362708521269e-07
"OR1PS2","ET","beta2",1000,1000,2.0045147237132,0.0451472371319699,0.732566363542935,0.747780908477228,1.02076882817921,0.733590551014784,0.954,2.93124729788402,435.332263432751,3.01434596639425,2.91661973293617,3.91835095316419,0,0,0,6.51362708521269e-07
"OR1PS2","Full","beta0",1000,1000,0.998463009782766,-0.0153699021723443,0.443232143540494,0.448083021882722,1.01094432886451,0.443277015225492,0.96,1.75645316994801,NA,NA,NA,NA,0,0,NA,NA
